genotype,date,plate,roam,dwell,pct.roam
N2,7_31_17,1,4895,841,0.853382148
rict-1(ft7),7_31_17,1,3543,783,0.819001387
N2,8_1_17,2,2717,349,0.886170907
rict-1(ft7),8_1_17,2,2629,876,0.750071327
N2,8_10_17,3,5001,385,0.928518381
rict-1(ft7),8_10_17,3,3919,770,0.835785882
