genotype,binII12680000,binII12790000,binII12900000,binII13050000,other
N2,N2,N2,N2,N2,N2
CB4856,CB,CB,CB,CB,CB
NIL10,N2,CB,CB,CB,N2
NIL59,N2,N2,N2,CB,N2
NIL76,CB,N2,N2,N2,N2
NIL78,CB,CB,N2,N2,N2
