genotype,plate,date,temp,food,pheromone,neuron,#,ID,area,mean,mode,min,max,IntDen,Median,RawIntDen,note
N2,,8_10_16,25,OP50,600,ASI,33,7,0.66,1666.333,1739,1463,1799,1100.375,1665,104979,
N2,,8_10_16,25,OP50,600,ASI,34,7,0.891,3491.176,3286,3002,3744,3110.492,3521,296750,
N2,,8_10_16,25,OP50,600,ASI,35,8,1.457,3220.072,3068,2488,3735,4691.575,3261,447590,
N2,,8_10_16,25,OP50,600,ASI,36,8,0.922,2441.511,2534,2178,2637,2252.059,2457,214853,
N2,,8_10_16,25,OP50,600,ASI,37,9,0.713,2898.574,2811,2644,3054,2066.006,2924,197103,
N2,,8_10_16,25,OP50,600,ASI,38,9,0.618,1562.627,1622,1434,1682,966.375,1574,92195,
N2,,8_10_16,25,OP50,600,ASI,39,10,1.73,1387.552,1366,1233,1504,2399.78,1397,228946,
N2,,8_10_16,25,OP50,600,ASI,40,10,2.033,1568.856,1634,1327,1728,3190.238,1577,304358,
N2,,8_10_16,25,OP50,1200,ASI,41,10,0.786,1700.733,1750,1485,1835,1337.014,1730,127555,
N2,,8_10_16,25,OP50,1200,ASI,42,10,0.891,1582.753,1482,1313,1745,1410.166,1579,134534,
N2,,8_10_16,25,OP50,1200,ASI,43,10,2.212,878.957,866,788,950,1943.966,882,185460,
N2,,8_10_16,25,OP50,1200,ASI,44,10,1.017,484.278,478,458,512,492.385,485,46975,
N2,,8_10_16,25,OP50,1200,ASI,45,10,1.73,1351.297,1329,1234,1446,2337.077,1352,222964,
N2,,8_10_16,25,OP50,1200,ASI,46,10,1.101,1211.076,1181,1100,1277,1332.905,1213,127163,
N2,,8_10_16,25,OP50,1200,ASI,47,10,1.667,1075.528,1060,891,1181,1792.492,1092,171009,
N2,,8_10_16,25,OP50,1200,ASI,48,10,1.027,820.082,804,721,906,842.406,820,80368,
N2,,8_10_16,25,OP50,1200,ASI,49,10,1.363,302,303,282,319,411.518,303,39260,
N2,,8_10_16,25,OP50,1200,ASI,50,10,1.426,396.184,398,355,430,564.773,398,53881,
N2,,8_10_16,25,OP50,1200,ASI,51,10,0.88,1078.452,1039,951,1154,949.552,1087,90590,
N2,,8_10_16,25,OP50,1200,ASI,52,10,1.247,846.193,828,773,906,1055.492,844,100697,
N2,,8_10_16,25,OP50,1200,ASI,53,10,2.432,1655.556,1649,1312,2118,4025.967,1636,384089,
N2,,8_10_16,25,OP50,1200,ASI,54,10,0.765,1366.055,1380,1298,1412,1045.272,1366,99722,
N2,,8_10_16,25,OP50,1200,ASI,55,10,1.583,996.265,917,839,1111,1576.849,1006,150436,
N2,,8_10_16,25,OP50,1200,ASI,56,10,0.912,868.805,871,839,907,792.282,868,75586,
N2,,8_10_16,25,OP50,1200,ASI,57,10,0.964,2763.739,2560,2432,3033,2665.16,2784,254264,
N2,,8_10_16,25,OP50,1200,ASI,58,10,1.268,3407.62,2966,2577,4089,4321.901,3442,412322,
N2,,8_10_16,25,OP50,1200,ASI,59,10,1.415,919.333,912,827,972,1300.904,920,124110,
N2,,8_10_16,25,OP50,2400,ASI,60,10,2.6,1553.685,1619,1380,1747,4038.807,1551,385314,
N2,,8_10_16,25,OP50,2400,ASI,61,10,0.954,781.736,791,729,836,745.659,781,71138,
N2,,8_10_16,25,OP50,2400,ASI,62,10,1.006,680.115,687,637,723,684.371,681,65291,
N2,,8_10_16,25,OP50,2400,ASI,63,10,0.87,925.723,958,833,1011,805.374,930,76835,
N2,,8_10_16,25,OP50,2400,ASI,64,10,1.205,1395.722,1470,1178,1529,1682.422,1431,160508,
N2,,8_10_16,25,OP50,2400,ASI,65,10,2.054,550.934,569,493,598,1131.863,552,107983,
N2,,8_10_16,25,OP50,2400,ASI,66,10,1.488,779.444,780,721,833,1160.143,780,110681,
N2,,8_10_16,25,OP50,2400,ASI,67,10,0.943,2261.378,2440,1846,2498,2133.31,2288,203524,
N2,,8_10_16,25,OP50,2400,ASI,68,10,0.556,2148.245,2149,1999,2260,1193.433,2165,113857,
N2,,8_10_16,25,OP50,2400,ASI,69,10,1.478,582.426,567,508,641,860.791,587,82122,
N2,,8_10_16,25,OP50,2400,ASI,70,10,0.713,947.25,953,874,988,675.168,953,64413,
N2,,8_10_16,25,OP50,2400,ASI,71,10,1.834,287.343,286,270,303,527.08,287,50285,
N2,,8_10_16,25,OP50,2400,ASI,72,10,1.384,349.606,353,324,370,483.717,351,46148,
N2,,8_10_16,25,OP50,2400,ASI,73,10,1.908,504.742,498,424,554,962.895,516,91863,
N2,,8_10_16,25,OP50,2400,ASI,74,10,1.918,330.563,333,306,355,634.079,331,60493,
