date ,genotype,plate,n_boxes,n_entries,line
10_1_16,ft7;ex[ges-1p],9&10,55,113,L3
10_1_16,ft7;ex[ges-1p],11&12,37,110,L3
1_5_17,pdfr-1,1&2,,58,
1_5_17,pdfr-1,3&4,,94,
1_5_17,pdfr-1,5&6,,34,
1_5_17,pdfr-1,7&8,,20,
1_5_17,pdfr-1,9&10,,48,
1_5_17,pdfr-1,11&12,,55,
1_5_17,pdfr-1;ft7,1&2,,27,
1_5_17,pdfr-1;ft7,3&4,,38,
1_5_17,pdfr-1;ft7,5&6,,55,
1_5_17,pdfr-1;ft7,7&8,,94,
1_5_17,pdfr-1;ft7,9&10,,47,
1_5_17,pdfr-1;ft7,11&12,,27,
1_5_17,ft7,1&2,,738,
1_5_17,ft7,3&4,,366,
1_5_17,ft7,5&6,,467,
1_5_17,ft7,7&8,,302,
1_5_17,ft7,9&10,,394,
1_5_17,N2,1&2,,174,
1_5_17,N2,3&4,,241,
1_5_17,N2,5&6,,277,
1_5_17,N2,7&8,,357,
1_5_17,N2,9&10,,380,
1_5_17,N2,11&12,,286,
1_5_17,pdf-1,1&2,,50,
1_5_17,pdf-1,3&4,,49,
1_5_17,pdf-1,5&6,,54,
1_5_17,pdf-1,7&8,,44,
1_5_17,pdf-1,9&10,,68,
1_5_17,pdf-1,11&12,,41,
1_8_17,pdfr-1,1&2,,33,
1_8_17,pdfr-1,3&4,,58,
1_8_17,pdfr-1,5&6,,76,
1_8_17,pdfr-1,7&8,,25,
1_8_17,pdfr-1,9&10,,58,
1_8_17,pdfr-1,11&12,,135,
1_8_17,pdfr-1;ft7,1&2,,26,
1_8_17,pdfr-1;ft7,3&4,,31,
1_8_17,pdfr-1;ft7,5&6,,148,
1_8_17,pdfr-1;ft7,7&8,,62,
1_8_17,pdfr-1;ft7,9&10,,32,
1_8_17,pdfr-1;ft7,11&12,,76,
1_8_17,N2,1&2,,145,
1_8_17,N2,3&4,,56,
1_8_17,N2,5&6,,82,
1_8_17,N2,7&8,,191,
1_8_17,N2,9&10,,267,
1_8_17,ft7,1&2,,262,
1_8_17,ft7,3&4,,507,
1_8_17,ft7,5&6,,373,
1_8_17,ft7,7&8,,408,
1_8_17,ft7,9&10,,292,
1_8_17,ft7,11&12,,268,
