genotype,day,food,plate,dauer,ar,pd,non,line,allele
N2,12_5_17,OP50,1,5,,,42,,
N2,12_5_17,OP50,2,3,,,63,,
rict-1(ft7),12_5_17,OP50,1,29,,,3,,
rict-1(ft7),12_5_17,OP50,2,31,,,0,,
rict-1(ft7);pdfr-1,12_5_17,OP50,1,43,,,0,,
rict-1(ft7);pdfr-1,12_5_17,OP50,2,27,,,0,,
N2,8_14_17,OP50,1,1,,,72,,
N2,8_14_17,OP50,2,1,,,74,,
rict-1(ft7),8_14_17,OP50,1,22,,,10,,
rict-1(ft7),8_14_17,OP50,2,40,,,2,,
rict-1(ft7);pdfr-1,8_14_17,OP50,1,67,,,2,,
rict-1(ft7);pdfr-1,8_14_17,OP50,2,68,,,3,,
