genotype,day,date,temp,food,pheromone,neuron,cell.ID,ID,area,mean,mode,min,max,IntDen,Median,RawIntDen,notes,exp_time,rescaledASI,medianASI,medianASJ,rescaledASJ
N2,4,10_16_15,25,OP50,0,ASI,212,5,0.468,2740.944,2688,2639,2855,1282.839,2748,49337,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASJ,213,5,1.014,1095.308,1084,1041,1144,1110.709,1092,42717,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASJ,214,5,0.364,1274.357,1249,1248,1328,463.894,1275,17841,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASI,215,6,0.806,2219.065,2153,2004,2347,1788.673,2227,68791,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASI,216,6,0.832,1614.719,1343,1343,1919,1343.527,1625,51671,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASJ,217,6,0.312,831.25,840,809,856,259.366,828,9975,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASJ,218,6,1.04,1167.725,1186,1007,1253,1214.507,1187,46709,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASI,219,7,0.728,3408,2981,2981,3602,2481.173,3440,95424,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASI,220,7,1.118,2147.442,2071,1886,2296,2400.984,2174,92340,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASJ,221,7,1.404,825.259,783,749,881,1158.734,827,44564,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASJ,222,7,1.534,1501.458,1501,1264,1641,2303.374,1521,88586,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASI,223,8,1.326,1856.451,1886,1682,2000,2461.802,1883,94679,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASI,224,8,1.04,2367.075,2390,2195,2476,2461.906,2384,94683,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASJ,225,8,1.508,1089.707,1118,957,1164,1643.377,1106,63203,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASI,226,9,0.988,1822.737,1734,1640,1983,1800.972,1810,69264,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASI,227,9,1.066,1295.512,1259,1103,1374,1381.099,1304,53116,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASJ,228,9,0.572,643.227,634,610,667,367.948,643,14151,HB101 contaminated,,,,,
N2,4,10_16_15,25,OP50,0,ASJ,229,9,0.806,858.742,828,748,925,692.188,868,26621,HB101 contaminated,,,,,
