genotype,date,plate,roam,dwell,pct.roam,
ft7,2_28_17,1,2073,2548,0.448604198,
N2,2_28_17,3,476,2445,0.162957891,labeled 'third' assay
N2,7_26_17,1,480,2401,0.166608816,
N2,7_26_17,2,275,3522,0.072425599,
ft7,7_26_17,3,452,2256,0.166912851,
ft7,7_26_17,4,563,1460,0.278299555,
N2,7_28_17,1,335,2464,0.119685602,
N2,7_28_17,2,322,3317,0.088485848,
ft7,7_28_17,3,935,1350,0.409190372,
ft7,7_28_17,4,375,713,0.344669118,
